"Year","Name","No.","Sex","Rank"
1954,"John",1389,"Boy",1
1954,"David",1161,"Boy",2
1954,"Peter",1157,"Boy",3
1954,"Michael",853,"Boy",4
1954,"Robert",730,"Boy",5
1954,"Paul",687,"Boy",6
1954,"Stephen",573,"Boy",7
1954,"Kevin",543,"Boy",8
1954,"Christopher",508,"Boy",9
1954,"Brian",476,"Boy",10
1954,"William",442,"Boy",11
1954,"Ian",442,"Boy",11
1954,"Mark",423,"Boy",13
1954,"Richard",394,"Boy",14
1954,"Alan",381,"Boy",15
1954,"Bruce",380,"Boy",16
1954,"Murray",372,"Boy",17
1954,"Graeme",366,"Boy",18
1954,"Wayne",336,"Boy",19
1954,"James",323,"Boy",20
1954,"Gary",323,"Boy",20
1954,"Anthony",317,"Boy",22
1954,"Graham",302,"Boy",23
1954,"Philip",301,"Boy",24
1954,"Barry",290,"Boy",25
1954,"Colin",281,"Boy",26
1954,"Trevor",249,"Boy",27
1954,"Kenneth",248,"Boy",28
1954,"Ross",240,"Boy",29
1954,"Grant",234,"Boy",30
1954,"Geoffrey",223,"Boy",31
1954,"Raymond",214,"Boy",32
1954,"Keith",214,"Boy",32
1954,"Allan",209,"Boy",34
1954,"Donald",198,"Boy",35
1954,"Ronald",196,"Boy",36
1954,"Roger",191,"Boy",37
1954,"Steven",190,"Boy",38
1954,"Gregory",190,"Boy",38
1954,"Neil",181,"Boy",40
1954,"Andrew",180,"Boy",41
1954,"Warren",179,"Boy",42
1954,"Garry",177,"Boy",43
1954,"Russell",170,"Boy",44
1954,"Thomas",168,"Boy",45
1954,"Dennis",165,"Boy",46
1954,"Phillip",160,"Boy",47
1954,"Stuart",152,"Boy",48
1954,"Douglas",151,"Boy",49
1954,"George",148,"Boy",50
1954,"Robin",141,"Boy",51
1954,"Leslie",141,"Boy",51
1954,"Malcolm",140,"Boy",53
1954,"Gordon",134,"Boy",54
1954,"Edward",133,"Boy",55
1954,"Neville",132,"Boy",56
1954,"Terence",127,"Boy",57
1954,"Martin",120,"Boy",58
1954,"Charles",120,"Boy",58
1954,"Patrick",117,"Boy",60
1954,"Timothy",113,"Boy",61
1954,"Lindsay",108,"Boy",62
1954,"Noel",101,"Boy",63
1954,"Rex",100,"Boy",64
1954,"Kerry",100,"Boy",64
1954,"Joseph",100,"Boy",64
1954,"Brent",98,"Boy",67
1954,"Craig",98,"Boy",67
1954,"Jeffrey",97,"Boy",69
1954,"Gavin",96,"Boy",70
1954,"Rodney",95,"Boy",71
1954,"Nigel",82,"Boy",72
1954,"Alexander",82,"Boy",72
1954,"Bryan",79,"Boy",74
1954,"Owen",76,"Boy",75
1954,"Tony",75,"Boy",76
1954,"Eric",72,"Boy",77
1954,"Lawrence",71,"Boy",78
1954,"Glenn",71,"Boy",78
1954,"Arthur",71,"Boy",78
1954,"Bernard",68,"Boy",81
1954,"Denis",66,"Boy",82
1954,"Ivan",65,"Boy",83
1954,"Francis",63,"Boy",84
1954,"Mervyn",61,"Boy",85
1954,"Henry",61,"Boy",85
1954,"Gerard",60,"Boy",87
1954,"Norman",59,"Boy",88
1954,"Derek",59,"Boy",88
1954,"Desmond",57,"Boy",90
1954,"Simon",56,"Boy",91
1954,"Maurice",52,"Boy",92
1954,"Nicholas",52,"Boy",92
1954,"Lance",52,"Boy",92
1954,"Brett",52,"Boy",92
1954,"Daniel",49,"Boy",96
1954,"Frederick",49,"Boy",96
1954,"Roy",48,"Boy",98
1954,"Stewart",47,"Boy",99
1954,"Kelvin",47,"Boy",99
1955,"John",1384,"Boy",1
1955,"Peter",1244,"Boy",2
1955,"David",1177,"Boy",3
1955,"Michael",865,"Boy",4
1955,"Robert",729,"Boy",5
1955,"Paul",712,"Boy",6
1955,"Stephen",681,"Boy",7
1955,"Kevin",562,"Boy",8
1955,"Christopher",547,"Boy",9
1955,"Ian",492,"Boy",10
1955,"Mark",452,"Boy",11
1955,"Richard",433,"Boy",12
1955,"William",426,"Boy",13
1955,"Brian",387,"Boy",14
1955,"Bruce",383,"Boy",15
1955,"Murray",372,"Boy",16
1955,"Alan",371,"Boy",17
1955,"Anthony",368,"Boy",18
1955,"Wayne",364,"Boy",19
1955,"James",351,"Boy",20
1955,"Graeme",350,"Boy",21
1955,"Gary",336,"Boy",22
1955,"Graham",316,"Boy",23
1955,"Barry",290,"Boy",24
1955,"Colin",274,"Boy",25
1955,"Ross",265,"Boy",26
1955,"Geoffrey",264,"Boy",27
1955,"Raymond",252,"Boy",28
1955,"Kenneth",249,"Boy",29
1955,"Philip",246,"Boy",30
1955,"Trevor",241,"Boy",31
1955,"Neil",227,"Boy",32
1955,"Grant",220,"Boy",33
1955,"Donald",212,"Boy",34
1955,"Gregory",208,"Boy",35
1955,"Steven",200,"Boy",36
1955,"Allan",199,"Boy",37
1955,"Garry",196,"Boy",38
1955,"Roger",194,"Boy",39
1955,"Andrew",192,"Boy",40
1955,"Keith",182,"Boy",41
1955,"Ronald",168,"Boy",42
1955,"Warren",161,"Boy",43
1955,"Thomas",153,"Boy",44
1955,"Russell",153,"Boy",44
1955,"Dennis",151,"Boy",46
1955,"Stuart",145,"Boy",47
1955,"Timothy",141,"Boy",48
1955,"Malcolm",139,"Boy",49
1955,"Douglas",132,"Boy",50
1955,"Edward",131,"Boy",51
1955,"Phillip",128,"Boy",52
1955,"Robin",127,"Boy",53
1955,"Martin",124,"Boy",54
1955,"Gavin",122,"Boy",55
1955,"Patrick",121,"Boy",56
1955,"Gordon",118,"Boy",57
1955,"Leslie",118,"Boy",57
1955,"Terence",116,"Boy",59
1955,"Charles",116,"Boy",59
1955,"George",113,"Boy",61
1955,"Craig",110,"Boy",62
1955,"Lindsay",108,"Boy",63
1955,"Jeffrey",99,"Boy",64
1955,"Bryan",98,"Boy",65
1955,"Joseph",96,"Boy",66
1955,"Glenn",95,"Boy",67
1955,"Rex",94,"Boy",68
1955,"Kerry",92,"Boy",69
1955,"Noel",91,"Boy",70
1955,"Neville",91,"Boy",70
1955,"Nigel",88,"Boy",72
1955,"Tony",87,"Boy",73
1955,"Alexander",82,"Boy",74
1955,"Brent",82,"Boy",74
1955,"Arthur",82,"Boy",74
1955,"Rodney",75,"Boy",77
1955,"Simon",69,"Boy",78
1955,"Maurice",67,"Boy",79
1955,"Lance",63,"Boy",80
1955,"Eric",62,"Boy",81
1955,"Francis",61,"Boy",82
1955,"Bernard",59,"Boy",83
1955,"Stewart",58,"Boy",84
1955,"Owen",58,"Boy",84
1955,"Gerard",56,"Boy",86
1955,"Nicholas",55,"Boy",87
1955,"Roy",53,"Boy",88
1955,"Derek",53,"Boy",88
1955,"Gerald",52,"Boy",90
1955,"Hugh",50,"Boy",91
1955,"Warwick",48,"Boy",92
1955,"Norman",48,"Boy",92
1955,"Mervyn",48,"Boy",92
1955,"Desmond",48,"Boy",92
1955,"Brett",48,"Boy",92
1955,"Lawrence",47,"Boy",97
1955,"Shane",46,"Boy",98
1955,"Lloyd",46,"Boy",98
1955,"Frank",46,"Boy",98
1956,"Peter",1450,"Boy",1
1956,"John",1277,"Boy",2
1956,"David",1199,"Boy",3
1956,"Michael",866,"Boy",4
1956,"Paul",728,"Boy",5
1956,"Stephen",720,"Boy",6
1956,"Robert",695,"Boy",7
1956,"Kevin",600,"Boy",8
1956,"Mark",573,"Boy",9
1956,"Christopher",523,"Boy",10
1956,"Ian",452,"Boy",11
1956,"Richard",438,"Boy",12
1956,"Brian",429,"Boy",13
1956,"William",428,"Boy",14
1956,"Wayne",396,"Boy",15
1956,"Bruce",395,"Boy",16
1956,"Anthony",382,"Boy",17
1956,"James",354,"Boy",18
1956,"Gary",349,"Boy",19
1956,"Graeme",336,"Boy",20
1956,"Alan",329,"Boy",21
1956,"Murray",312,"Boy",22
1956,"Graham",292,"Boy",23
1956,"Grant",259,"Boy",24
1956,"Colin",256,"Boy",25
1956,"Barry",256,"Boy",25
1956,"Geoffrey",244,"Boy",27
1956,"Andrew",240,"Boy",28
1956,"Kenneth",237,"Boy",29
1956,"Neil",236,"Boy",30
1956,"Gregory",236,"Boy",30
1956,"Philip",235,"Boy",32
1956,"Ross",232,"Boy",33
1956,"Steven",216,"Boy",34
1956,"Allan",207,"Boy",35
1956,"Donald",200,"Boy",36
1956,"Trevor",196,"Boy",37
1956,"Raymond",187,"Boy",38
1956,"Stuart",175,"Boy",39
1956,"Keith",170,"Boy",40
1956,"Roger",169,"Boy",41
1956,"Garry",167,"Boy",42
1956,"Russell",165,"Boy",43
1956,"Thomas",158,"Boy",44
1956,"Malcolm",157,"Boy",45
1956,"Patrick",150,"Boy",46
1956,"Phillip",149,"Boy",47
1956,"Jeffrey",145,"Boy",48
1956,"Douglas",144,"Boy",49
1956,"Martin",141,"Boy",50
1956,"Gordon",136,"Boy",51
1956,"Warren",135,"Boy",52
1956,"George",134,"Boy",53
1956,"Ronald",132,"Boy",54
1956,"Craig",129,"Boy",55
1956,"Robin",126,"Boy",56
1956,"Timothy",124,"Boy",57
1956,"Leslie",122,"Boy",58
1956,"Gavin",116,"Boy",59
1956,"Dennis",116,"Boy",59
1956,"Charles",116,"Boy",59
1956,"Simon",113,"Boy",62
1956,"Neville",113,"Boy",62
1956,"Brent",112,"Boy",64
1956,"Edward",109,"Boy",65
1956,"Terence",102,"Boy",66
1956,"Nigel",96,"Boy",67
1956,"Bryan",95,"Boy",68
1956,"Joseph",93,"Boy",69
1956,"Lindsay",93,"Boy",69
1956,"Kerry",92,"Boy",71
1956,"Tony",91,"Boy",72
1956,"Rex",88,"Boy",73
1956,"Glenn",86,"Boy",74
1956,"Rodney",82,"Boy",75
1956,"Noel",80,"Boy",76
1956,"Alexander",75,"Boy",77
1956,"Eric",71,"Boy",78
1956,"Derek",66,"Boy",79
1956,"Norman",62,"Boy",80
1956,"Lance",62,"Boy",80
1956,"Maurice",61,"Boy",82
1956,"Shane",60,"Boy",83
1956,"Gerard",60,"Boy",83
1956,"Daniel",58,"Boy",85
1956,"Desmond",58,"Boy",85
1956,"Nicholas",56,"Boy",87
1956,"Ivan",55,"Boy",88
